,Energy Level,Grooming Frequency,Shedding,Temperament/Demeanor,Trainability,breed
212,60.0,40.0,60.0,60.0,40.0,Rhodesian Ridgeback
213,60.0,40.0,40.0,20.0,40.0,Romanian Mioritic Shepherd Dog
214,60.0,40.0,60.0,40.0,60.0,Rottweiler
215,100.0,40.0,40.0,80.0,60.0,Russell Terrier
216,60.0,40.0,20.0,80.0,60.0,Russian Toy
217,60.0,60.0,20.0,80.0,60.0,Russian Tsvetnaya Bolonka
218,60.0,40.0,60.0,80.0,60.0,Saint Bernard
219,80.0,20.0,40.0,40.0,40.0,Saluki
220,80.0,60.0,60.0,80.0,40.0,Samoyed
221,60.0,40.0,60.0,60.0,80.0,Schapendoes
222,80.0,40.0,60.0,60.0,40.0,Schipperke
223,60.0,20.0,60.0,60.0,40.0,Scottish Deerhound
224,60.0,60.0,40.0,60.0,40.0,Scottish Terrier
225,60.0,60.0,60.0,60.0,40.0,Sealyham Terrier
226,,40.0,60.0,,100.0,Segugio Italiano
227,60.0,60.0,60.0,40.0,100.0,Shetland Sheepdog
228,60.0,40.0,60.0,40.0,40.0,Shiba Inu
229,60.0,80.0,20.0,80.0,60.0,Shih Tzu
230,60.0,40.0,,,,Shikoku
231,80.0,40.0,60.0,80.0,40.0,Siberian Husky
232,60.0,60.0,40.0,60.0,60.0,Silky Terrier
233,60.0,80.0,60.0,40.0,40.0,Skye Terrier
234,,,,,,Sloughi
235,80.0,20.0,40.0,100.0,40.0,Slovakian Wirehaired Pointer
236,40.0,40.0,80.0,,,Slovensky Cuvac
237,60.0,20.0,60.0,,,Slovensky Kopov
238,100.0,20.0,60.0,80.0,60.0,Small Munsterlander Pointer
239,80.0,40.0,40.0,80.0,60.0,Smooth Fox Terrier
240,80.0,60.0,20.0,60.0,40.0,Soft Coated Wheaten Terrier
241,40.0,,60.0,,,Spanish Mastiff
242,80.0,100.0,20.0,40.0,100.0,Spanish Water Dog
243,80.0,40.0,,60.0,60.0,Spinone Italiano
244,80.0,20.0,60.0,60.0,80.0,Stabyhoun
245,80.0,40.0,40.0,80.0,20.0,Staffordshire Bull Terrier
246,60.0,60.0,20.0,80.0,40.0,Standard Schnauzer
247,60.0,60.0,60.0,40.0,40.0,Sussex Spaniel
248,60.0,40.0,60.0,60.0,20.0,Swedish Lapphund
249,100.0,20.0,60.0,80.0,100.0,Swedish Vallhund
250,100.0,40.0,60.0,40.0,80.0,Taiwan Dog
251,80.0,40.0,60.0,80.0,100.0,Teddy Roosevelt Terrier
252,80.0,20.0,60.0,40.0,40.0,Thai Ridgeback
253,60.0,60.0,60.0,60.0,40.0,Tibetan Mastiff
254,40.0,40.0,60.0,60.0,60.0,Tibetan Spaniel
255,80.0,60.0,60.0,40.0,40.0,Tibetan Terrier
256,,,,60.0,80.0,Tornjak
257,40.0,20.0,40.0,40.0,60.0,Tosa
258,80.0,40.0,40.0,80.0,100.0,Toy Fox Terrier
259,100.0,40.0,,,20.0,Transylvanian Hound
260,60.0,40.0,40.0,,,Treeing Tennessee Brindle
261,60.0,20.0,60.0,80.0,40.0,Treeing Walker Coonhound
